epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.163,0.67337,2.12735,0.86748,0.00333,1,0.89741,0.76781,0.51808,2.87717,0.82345,0.00065,0.00065,0.00065
2,42.661,0.64853,1.09596,0.85557,0.97423,0.75599,0.91439,0.77335,0.61719,2.18938,0.86983,0.00127322,0.00127322,0.00127322
3,63.0239,0.65443,0.97411,0.86419,0.93036,0.93517,0.96554,0.82578,0.61538,1.05263,0.85278,0.00185243,0.00185243,0.00185243
4,83.346,0.63346,0.85129,0.85657,0.98018,0.98929,0.98434,0.86405,0.49043,0.59253,0.81304,0.001802,0.001802,0.001802
5,103.52,0.5726,0.70493,0.85806,0.97972,0.96598,0.98715,0.89412,0.46545,0.56363,0.81345,0.001736,0.001736,0.001736
6,123.687,0.5558,0.61356,0.83276,0.96941,0.99,0.97774,0.84995,0.50419,0.49848,0.82345,0.00167,0.00167,0.00167
7,143.825,0.55652,0.58073,0.85293,0.97996,0.97786,0.98957,0.89253,0.45021,0.44867,0.81331,0.001604,0.001604,0.001604
8,163.973,0.52367,0.51275,0.82874,0.95848,0.98,0.97362,0.88448,0.42231,0.39633,0.80721,0.001538,0.001538,0.001538
9,184.039,0.53616,0.49723,0.83111,0.95991,0.99,0.98417,0.91618,0.37619,0.38307,0.80189,0.001472,0.001472,0.001472
10,204.188,0.48845,0.45582,0.83048,0.96115,0.99,0.97323,0.91581,0.32359,0.35209,0.79063,0.001406,0.001406,0.001406
11,224.36,0.48451,0.43384,0.82731,0.9765,0.99,0.98069,0.90371,0.39509,0.36161,0.79529,0.00134,0.00134,0.00134
12,244.805,0.47064,0.44254,0.82761,0.96902,0.99,0.9837,0.91343,0.35493,0.35568,0.79251,0.001274,0.001274,0.001274
13,265.13,0.45819,0.41191,0.82757,0.96794,0.99,0.98292,0.91413,0.34846,0.34233,0.79161,0.001208,0.001208,0.001208
14,285.405,0.45212,0.40524,0.82232,0.98008,0.9842,0.98254,0.91947,0.37988,0.33669,0.79762,0.001142,0.001142,0.001142
15,305.554,0.43909,0.38702,0.81867,0.976,1,0.97735,0.91112,0.37109,0.3617,0.79402,0.001076,0.001076,0.001076
16,325.844,0.42989,0.37421,0.81019,0.97077,1,0.98295,0.92997,0.33883,0.32033,0.79092,0.00101,0.00101,0.00101
17,346.115,0.42443,0.36096,0.8038,0.96919,1,0.9716,0.92238,0.31332,0.30778,0.78745,0.000944,0.000944,0.000944
18,366.253,0.4048,0.35248,0.80866,0.97085,0.9993,0.97819,0.93189,0.32517,0.30661,0.78697,0.000878,0.000878,0.000878
19,386.471,0.40415,0.34833,0.80927,0.97841,0.99,0.9826,0.94315,0.29196,0.27843,0.78316,0.000812,0.000812,0.000812
20,406.754,0.38538,0.33502,0.80864,0.97518,0.99,0.9762,0.94346,0.28263,0.26476,0.78088,0.000746,0.000746,0.000746
21,426.079,0.3391,0.31466,0.79272,0.97876,0.99,0.98435,0.95628,0.28388,0.26031,0.78131,0.00068,0.00068,0.00068
22,445.24,0.34887,0.31275,0.78772,0.95989,1,0.98109,0.93937,0.31869,0.28483,0.78229,0.000614,0.000614,0.000614
23,464.415,0.34369,0.29822,0.79215,0.96892,0.99,0.97816,0.95513,0.27621,0.27052,0.77775,0.000548,0.000548,0.000548
24,483.522,0.31793,0.28738,0.781,0.98014,1,0.97598,0.93494,0.3224,0.27855,0.78362,0.000482,0.000482,0.000482
25,502.844,0.32732,0.28493,0.79579,0.9801,1,0.97598,0.94873,0.28019,0.251,0.78013,0.000416,0.000416,0.000416
26,522.189,0.30243,0.26552,0.78689,0.98038,0.99929,0.97735,0.95157,0.26679,0.25015,0.77804,0.00035,0.00035,0.00035
27,541.569,0.29566,0.26384,0.78398,0.97625,0.99,0.9764,0.95088,0.27313,0.2535,0.77764,0.000284,0.000284,0.000284
28,560.953,0.2905,0.25541,0.77929,0.97002,0.99,0.9768,0.95695,0.26853,0.2529,0.77496,0.000218,0.000218,0.000218
29,580.393,0.27567,0.24585,0.78146,0.97762,0.99,0.97541,0.95563,0.24429,0.22981,0.77459,0.000152,0.000152,0.000152
30,599.531,0.27023,0.23512,0.7724,0.97822,0.99,0.97643,0.95614,0.2378,0.22652,0.77367,8.6e-05,8.6e-05,8.6e-05
