epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65986,1.16788,3.96172,1.17488,0.00156,0.4375,0.00121,0.0007,0.95964,4.03056,1.12477,6e-05,6e-05,6e-05
2,3.81574,0.91257,4.05787,1.01453,0.00333,0.9375,0.34482,0.26087,0.61896,3.57967,0.83499,0.00013538,0.00013538,0.00013538
3,4.96723,0.88314,3.2142,0.93988,0.00333,0.9375,0.68903,0.56052,0.59092,3.29597,0.77471,0.00020548,0.00020548,0.00020548
4,6.17377,0.8106,2.1204,0.93944,0.00333,0.9375,0.78264,0.61112,0.70165,3.15282,0.76286,0.0002703,0.0002703,0.0002703
5,7.25708,0.72687,2.12054,0.86719,0.00333,0.9375,0.7855,0.61813,0.63995,3.20669,0.76953,0.00032984,0.00032984,0.00032984
6,8.3505,0.72922,1.84589,0.922,0.00333,0.9375,0.48611,0.37807,0.58553,3.35882,0.77522,0.0003841,0.0003841,0.0003841
7,9.44286,0.7519,1.79752,0.90974,0.00333,0.9375,0.20262,0.1699,0.57522,3.37754,0.81566,0.00043308,0.00043308,0.00043308
8,10.6679,0.67668,1.71557,0.90811,0.00333,0.9375,0.22951,0.18541,0.6161,3.34966,0.82953,0.00047678,0.00047678,0.00047678
9,11.7884,0.71096,1.56078,0.90253,0.00333,0.9375,0.17973,0.15449,0.58953,3.38526,0.83,0.0005152,0.0005152,0.0005152
10,12.868,0.73293,1.66557,0.95906,0.00333,0.9375,0.13143,0.12289,0.73539,3.52222,0.87289,0.00054834,0.00054834,0.00054834
11,13.9526,0.77325,1.97109,0.95991,0.00333,0.9375,0.41209,0.35201,0.70761,3.34795,0.84893,0.0005762,0.0005762,0.0005762
12,15.0329,0.76899,1.3886,0.90738,0.00333,0.9375,0.81588,0.64187,0.72618,3.17043,0.85103,0.00059878,0.00059878,0.00059878
13,16.1022,0.68682,1.42527,0.89242,0.00333,0.9375,0.89706,0.73003,0.67694,3.04474,0.856,0.00061608,0.00061608,0.00061608
14,17.1831,0.73412,1.34331,0.91529,0.00333,0.9375,0.93511,0.78793,0.61441,2.96109,0.83431,0.0006281,0.0006281,0.0006281
15,18.2891,0.75761,1.36628,0.96421,0.86145,0.9375,0.93511,0.81075,0.54224,2.89428,0.81853,0.00063484,0.00063484,0.00063484
16,19.3829,0.69064,1.21842,0.89907,1,0.76449,0.93511,0.79759,0.62429,2.79428,0.83241,0.0006363,0.0006363,0.0006363
17,20.4489,0.69259,1.3433,0.91887,1,0.77896,0.93511,0.81068,0.66856,2.76189,0.84828,0.00063248,0.00063248,0.00063248
18,21.5521,0.68529,1.15469,0.92682,1,0.40534,0.92511,0.82487,0.55454,2.74208,0.8394,0.00062338,0.00062338,0.00062338
19,22.6149,0.62374,1.35289,0.90084,1,0.47934,0.91848,0.78635,0.57646,2.6836,0.84454,0.000609,0.000609,0.000609
20,23.6521,0.73474,1.27737,1.03892,0.605,0.6708,0.63728,0.52116,0.67949,2.57686,0.86694,0.00058934,0.00058934,0.00058934
21,53.4587,0.64011,1.40057,0.88786,0.37642,0.45334,0.39595,0.33384,0.61742,2.69293,0.85729,0.0005644,0.0005644,0.0005644
22,56.1255,0.5752,1.38153,0.89402,0.63221,0.43036,0.70538,0.63312,0.52584,2.61203,0.84906,0.00053418,0.00053418,0.00053418
23,57.3085,0.5882,1.37563,0.86234,1,0.55893,0.91498,0.81556,0.50914,2.45313,0.84662,0.00049868,0.00049868,0.00049868
24,58.6551,0.51006,1.28574,0.84647,1,0.85324,0.93511,0.85565,0.48686,2.22054,0.84527,0.0004579,0.0004579,0.0004579
25,59.7702,0.45579,1.22808,0.82953,1,0.9319,0.93511,0.83585,0.47973,1.90037,0.83508,0.00041184,0.00041184,0.00041184
26,60.9288,0.52986,1.24397,0.87417,1,0.93273,0.93511,0.85084,0.47622,1.65946,0.83363,0.00035,0.00035,0.00035
27,62.061,0.45195,1.16053,0.81004,1,0.93382,0.93511,0.83352,0.48594,1.49218,0.83334,0.000284,0.000284,0.000284
28,63.1442,0.46776,1.15444,0.82683,1,0.93434,0.93511,0.82347,0.50093,1.36017,0.83619,0.000218,0.000218,0.000218
29,64.1749,0.50073,1.17116,0.84869,1,0.93604,0.93511,0.82686,0.50411,1.26866,0.83523,0.000152,0.000152,0.000152
30,65.2041,0.4691,1.16617,0.83557,1,0.93715,0.93511,0.83417,0.49334,1.19775,0.8303,8.6e-05,8.6e-05,8.6e-05
